FixationIndex	Timestamp	FixationDuration	FixationPointX	FixationPointY	StimuliName
267	95179	259	976	605	uk.yahoo.com
268	95437	399	1012	604	uk.yahoo.com
269	95836	259	916	450	uk.yahoo.com
270	96095	180	868	396	uk.yahoo.com
271	96275	379	882	349	uk.yahoo.com
272	96654	319	914	249	uk.yahoo.com
273	96973	498	1005	614	uk.yahoo.com
274	97471	219	818	618	uk.yahoo.com
275	97690	219	797	698	uk.yahoo.com
276	98029	539	857	901	uk.yahoo.com
277	98568	339	798	874	uk.yahoo.com
278	98907	459	428	884	uk.yahoo.com
279	99365	199	254	878	uk.yahoo.com
280	99564	219	424	869	uk.yahoo.com
281	99784	279	474	830	uk.yahoo.com
282	100063	399	801	878	uk.yahoo.com
283	100462	598	837	841	uk.yahoo.com
284	101060	419	885	799	uk.yahoo.com
285	101478	678	911	862	uk.yahoo.com
286	102156	718	868	868	uk.yahoo.com
287	103034	1276	813	878	uk.yahoo.com
288	104309	419	871	877	uk.yahoo.com
289	104728	997	938	874	uk.yahoo.com
290	105725	259	553	451	uk.yahoo.com
291	105984	418	974	887	uk.yahoo.com
292	106403	179	820	484	uk.yahoo.com
293	106582	239	571	256	uk.yahoo.com
294	106822	239	545	181	uk.yahoo.com
295	107061	319	552	428	uk.yahoo.com
296	107380	558	540	157	uk.yahoo.com
297	107938	179	347	177	uk.yahoo.com
298	108237	140	430	159	uk.yahoo.com
299	108377	279	537	169	uk.yahoo.com
300	108656	339	332	189	uk.yahoo.com
301	108995	279	241	259	uk.yahoo.com
302	109274	239	319	571	uk.yahoo.com
303	109513	259	461	488	uk.yahoo.com
304	109772	837	538	413	uk.yahoo.com
305	110610	219	429	476	uk.yahoo.com
306	110829	618	392	505	uk.yahoo.com
307	111447	239	358	495	uk.yahoo.com
308	111686	1236	370	528	uk.yahoo.com
309	112922	219	448	523	uk.yahoo.com
310	113142	299	544	527	uk.yahoo.com
311	113441	1894	383	528	uk.yahoo.com
312	115335	359	443	520	uk.yahoo.com
313	115694	638	484	522	uk.yahoo.com
314	116332	1535	554	524	uk.yahoo.com
315	117867	2094	594	533	uk.yahoo.com
316	119960	239	429	549	uk.yahoo.com
317	120199	339	263	323	uk.yahoo.com
318	120538	199	291	189	uk.yahoo.com
319	120738	219	325	172	uk.yahoo.com
320	120957	239	532	228	uk.yahoo.com
321	121196	319	556	503	uk.yahoo.com
322	121515	179	735	263	uk.yahoo.com
323	121695	579	551	161	uk.yahoo.com
324	122273	259	545	348	No media
325	122532	219	127	360	ScreenRec
326	122752	299	584	574	ScreenRec
327	123050	299	779	710	ScreenRec
328	123350	199	596	445	www.avg.com
329	123549	259	481	267	www.avg.com
330	123808	179	343	221	www.avg.com
331	123987	459	625	121	www.avg.com
332	124446	259	641	404	www.avg.com
333	124705	200	510	258	www.avg.com
334	124905	259	377	158	www.avg.com
335	125164	219	305	153	www.avg.com
336	125383	199	661	109	www.avg.com
337	125582	359	608	109	www.avg.com
338	126101	99	565	155	www.avg.com
339	126200	439	654	121	www.avg.com
340	126639	159	610	117	www.avg.com
341	126799	199	431	314	www.avg.com
342	126998	239	309	255	www.avg.com
343	127237	279	425	220	www.avg.com
344	127516	239	368	653	www.avg.com
345	127756	179	279	409	www.avg.com
346	127935	179	278	215	www.avg.com
347	128114	180	263	54	www.avg.com
